ts_code,trade_date,open,high,low,close,vol
000001.SZ,20250704,12.35,12.72,12.3,12.6,1775332.67
000001.SZ,20250707,12.6,12.82,12.6,12.78,1495406.53
000001.SZ,20250708,12.75,12.84,12.65,12.69,1090985.97
000001.SZ,20250709,12.66,12.9,12.66,12.84,1205963.3
000001.SZ,20250710,12.82,13.33,12.79,13.18,2481415.53
000001.SZ,20250711,13.19,13.3,12.89,12.91,2443743.5
000001.SZ,20250714,12.87,13.17,12.86,12.98,1872895.85
000001.SZ,20250715,12.99,13.04,12.71,12.73,1810531.31
000001.SZ,20250716,12.73,12.76,12.5,12.64,1927863.79
000001.SZ,20250717,12.61,12.7,12.54,12.59,944641.4
000001.SZ,20250718,12.62,12.75,12.6,12.7,1241206.11
000001.SZ,20250721,12.64,12.71,12.55,12.61,1079026.62
000001.SZ,20250722,12.6,12.6,12.32,12.49,1935229.16
000001.SZ,20250723,12.46,12.63,12.45,12.53,1370520
000001.SZ,20250724,12.53,12.53,12.33,12.35,1959350.57
000001.SZ,20250725,12.33,12.46,12.32,12.35,1108266.66
000001.SZ,20250728,12.35,12.53,12.32,12.46,1238242.78
000001.SZ,20250729,12.46,12.51,12.34,12.34,1012818.01
000001.SZ,20250730,12.35,12.64,12.34,12.49,1715163.6
000001.SZ,20250731,12.51,12.55,12.22,12.23,1690081.25
000001.SZ,20250801,12.24,12.33,12.15,12.28,1012186.98
000001.SZ,20250804,12.24,12.38,12.21,12.3,1032689.69
000001.SZ,20250805,12.3,12.5,12.28,12.47,1132078.2
000001.SZ,20250806,12.47,12.52,12.4,12.46,690447.65
000001.SZ,20250807,12.44,12.53,12.39,12.47,722053.05
000001.SZ,20250808,12.48,12.53,12.39,12.4,829795.91
000001.SZ,20250811,12.4,12.42,12.27,12.3,934353.15
000001.SZ,20250812,12.3,12.4,12.3,12.33,680056.19
000001.SZ,20250813,12.37,12.4,12.23,12.26,1119813.05
000001.SZ,20250814,12.27,12.34,12.19,12.2,1241041.29
000001.SZ,20250815,12.23,12.23,11.94,12.08,1948502.95
000001.SZ,20250818,12.06,12.15,12.03,12.08,1239058.37
000001.SZ,20250819,12.1,12.12,12.02,12.06,892859.89
000001.SZ,20250820,12.06,12.12,11.98,12.07,1048738.53
000001.SZ,20250821,12.05,12.19,12.03,12.15,1217418.25
000001.SZ,20250822,12.15,12.17,11.98,12.06,1644259.77
000001.SZ,20250825,12.12,12.53,12.1,12.45,3045087.53
000001.SZ,20250826,12.45,12.5,12.3,12.36,1383598.61
000001.SZ,20250827,12.32,12.36,12.05,12.06,1860049.5
000001.SZ,20250828,12.09,12.14,11.97,12.08,1653587.93
000001.SZ,20250829,12.05,12.22,12.03,12.05,1805125.68
000001.SZ,20250901,12.05,12.05,11.85,11.89,1858459.02
000001.SZ,20250902,11.85,11.99,11.84,11.98,1492715.66
000001.SZ,20250903,11.98,12.01,11.74,11.75,1367232.49
000001.SZ,20250904,11.76,11.77,11.6,11.74,1295300.02
000001.SZ,20250905,11.73,11.74,11.63,11.72,819661.56
000001.SZ,20250908,11.71,11.78,11.67,11.7,924431.04
000001.SZ,20250909,11.71,11.78,11.68,11.75,860539.17
000001.SZ,20250910,11.74,11.79,11.71,11.77,792668.39
000001.SZ,20250911,11.77,11.85,11.71,11.85,963931.63
000001.SZ,20250912,11.83,11.88,11.7,11.72,940385.1
000001.SZ,20250915,11.7,11.72,11.63,11.65,840386.56
000001.SZ,20250916,11.66,11.71,11.61,11.64,708048.49
000001.SZ,20250917,11.64,11.67,11.58,11.64,771128.93
000001.SZ,20250918,11.65,11.66,11.38,11.41,1386160.4
000001.SZ,20250919,11.41,11.51,11.37,11.45,834651.23
000001.SZ,20250922,11.44,11.47,11.37,11.38,596402.32
000001.SZ,20250923,11.37,11.58,11.32,11.52,1341430.22
000001.SZ,20250924,11.51,11.62,11.43,11.46,1139583.47
000001.SZ,20250925,11.43,11.47,11.36,11.4,773275.94
000001.SZ,20250926,11.39,11.44,11.32,11.4,753238.75
000001.SZ,20250929,11.4,11.48,11.27,11.37,1176012.43
000001.SZ,20250930,11.37,11.37,11.29,11.34,832479.47
000001.SZ,20251009,11.33,11.41,11.27,11.4,1047469.06
000001.SZ,20251010,11.37,11.49,11.36,11.43,1087947.75
000001.SZ,20251013,11.32,11.46,11.28,11.4,1168801.73
000001.SZ,20251014,11.39,11.6,11.36,11.57,1843428.36
000001.SZ,20251015,11.34,11.42,11.26,11.4,1271061.03
000001.SZ,20251016,11.38,11.55,11.36,11.54,1261936.87
000001.SZ,20251017,11.5,11.58,11.38,11.4,1039666.32
000001.SZ,20251020,11.41,11.45,11.27,11.42,952641.1
000001.SZ,20251021,11.4,11.47,11.39,11.43,761164.62
000001.SZ,20251022,11.4,11.54,11.4,11.52,833703.19
000001.SZ,20251023,11.52,11.71,11.5,11.63,1373111.58
000001.SZ,20251024,11.6,11.68,11.55,11.56,980475.3
000001.SZ,20251027,11.54,11.61,11.44,11.52,1239485.26
000001.SZ,20251028,11.53,11.58,11.42,11.47,821568.18
000001.SZ,20251029,11.46,11.46,11.36,11.39,966213.64
000001.SZ,20251030,11.38,11.47,11.36,11.38,943770.15
000001.SZ,20251031,11.38,11.4,11.3,11.32,970192.93
000001.SZ,20251103,11.34,11.44,11.3,11.43,952326.43
000001.SZ,20251104,11.42,11.64,11.4,11.59,1503007.48
000001.SZ,20251105,11.59,11.6,11.5,11.52,794926.05
000001.SZ,20251106,11.5,11.58,11.47,11.51,766585.46
000001.SZ,20251107,11.52,11.58,11.5,11.55,734850.55
000001.SZ,20251110,11.52,11.64,11.45,11.63,827208.33
000001.SZ,20251111,11.62,11.69,11.57,11.67,886508.87
000001.SZ,20251112,11.7,11.79,11.65,11.68,1141325.38
000001.SZ,20251113,11.68,11.72,11.57,11.7,978991.03
000001.SZ,20251114,11.67,11.84,11.66,11.75,1316994.98
000001.SZ,20251117,11.75,11.75,11.62,11.67,995232.87
